movie_id,movie_title,title_year,movie_imdb_link,movie_imdb_id
198,Transformers,2007,http://www.imdb.com/title/tt0418279/?ref_=fn_tt_tt_1,tt0418279
200,Oldboy,2003,http://www.imdb.com/title/tt0364569/?ref_=fn_tt_tt_1,tt0364569
201,Frozen,2013,http://www.imdb.com/title/tt2294629/?ref_=fn_tt_tt_1,tt2294629
203,There Will Be Blood,2007,http://www.imdb.com/title/tt0469494/?ref_=fn_tt_tt_1,tt0469494
205,Coco,2017,http://www.imdb.com/title/tt2380307/?ref_=fn_tt_tt_1,tt2380307
206,Life of Pi,2012,http://www.imdb.com/title/tt0454876/?ref_=fn_tt_tt_1,tt0454876
208,Prometheus,2012,http://www.imdb.com/title/tt1446714/?ref_=fn_tt_tt_1,tt1446714
210,Into the Wild,2007,http://www.imdb.com/title/tt0758758/?ref_=fn_tt_tt_1,tt0758758
212,Superbad,2007,http://www.imdb.com/title/tt0829482/?ref_=fn_tt_tt_1,tt0829482
214,Cast Away,2000,http://www.imdb.com/title/tt0162222/?ref_=fn_tt_tt_1,tt0162222
215,The Notebook,2004,http://www.imdb.com/title/tt0332280/?ref_=fn_tt_tt_1,tt0332280
216,Rocky,1976,http://www.imdb.com/title/tt0075148/?ref_=fn_tt_tt_1,tt0075148
217,Tenet,2020,http://www.imdb.com/title/tt6723592/?ref_=fn_tt_tt_1,tt6723592
219,Green Book,2018,http://www.imdb.com/title/tt6966692/?ref_=fn_tt_tt_1,tt6966692
220,Baby Driver,2017,http://www.imdb.com/title/tt3890160/?ref_=fn_tt_tt_1,tt3890160
224,Zodiac,2007,http://www.imdb.com/title/tt0443706/?ref_=fn_tt_tt_1,tt0443706
225,Taken,2008,http://www.imdb.com/title/tt0936501/?ref_=fn_tt_tt_1,tt0936501
226,Don't Look Up,2021,http://www.imdb.com/title/tt11286314/?ref_=fn_tt_tt_1,tt11286314
229,Barbie,2023,http://www.imdb.com/title/tt1517268/?ref_=fn_tt_tt_1,tt1517268
230,Nightcrawler,2014,http://www.imdb.com/title/tt2872718/?ref_=fn_tt_tt_1,tt2872718
231,Zombieland,2009,http://www.imdb.com/title/tt1156398/?ref_=fn_tt_tt_1,tt1156398
232,Argo,2012,http://www.imdb.com/title/tt1024648/?ref_=fn_tt_tt_1,tt1024648
236,L.A. Confidential,1997,http://www.imdb.com/title/tt0119488/?ref_=fn_tt_tt_1,tt0119488
238,A Quiet Place,2018,http://www.imdb.com/title/tt6644200/?ref_=fn_tt_tt_1,tt6644200
239,Casablanca,1942,http://www.imdb.com/title/tt0034583/?ref_=fn_tt_tt_1,tt0034583
240,Dead Poets Society,1989,http://www.imdb.com/title/tt0097165/?ref_=fn_tt_tt_1,tt0097165
242,Limitless,2011,http://www.imdb.com/title/tt1219289/?ref_=fn_tt_tt_1,tt1219289
243,Independence Day,1996,http://www.imdb.com/title/tt0116629/?ref_=fn_tt_tt_1,tt0116629
245,Bohemian Rhapsody,2018,http://www.imdb.com/title/tt1727824/?ref_=fn_tt_tt_1,tt1727824
247,Ex Machina,2014,http://www.imdb.com/title/tt0470752/?ref_=fn_tt_tt_1,tt0470752
248,Shaun of the Dead,2004,http://www.imdb.com/title/tt0365748/?ref_=fn_tt_tt_1,tt0365748
251,Zootopia,2016,http://www.imdb.com/title/tt2948356/?ref_=fn_tt_tt_1,tt2948356
253,Looper,2012,http://www.imdb.com/title/tt1276104/?ref_=fn_tt_tt_1,tt1276104
254,Everything Everywhere All at Once,2022,http://www.imdb.com/title/tt6710474/?ref_=fn_tt_tt_1,tt6710474
255,Blood Diamond,2006,http://www.imdb.com/title/tt0450259/?ref_=fn_tt_tt_1,tt0450259
256,The Conjuring,2013,http://www.imdb.com/title/tt1457767/?ref_=fn_tt_tt_1,tt1457767
257,Minority Report,2002,http://www.imdb.com/title/tt0181689/?ref_=fn_tt_tt_1,tt0181689
259,Kick-Ass,2010,http://www.imdb.com/title/tt1250777/?ref_=fn_tt_tt_1,tt1250777
260,Split,2016,http://www.imdb.com/title/tt4972582/?ref_=fn_tt_tt_1,tt4972582
261,The Pursuit of Happyness,2006,http://www.imdb.com/title/tt0454921/?ref_=fn_tt_tt_1,tt0454921
262,Casino,1995,http://www.imdb.com/title/tt0112641/?ref_=fn_tt_tt_1,tt0112641
305,Little Miss Sunshine,2006,http://www.imdb.com/title/tt0449059/?ref_=fn_tt_tt_1,tt0449059
306,The Butterfly Effect,2004,http://www.imdb.com/title/tt0289879/?ref_=fn_tt_tt_1,tt0289879
308,It's a Wonderful Life,1946,http://www.imdb.com/title/tt0038650/?ref_=fn_tt_tt_1,tt0038650
310,Big Hero 6,2014,http://www.imdb.com/title/tt2245084/?ref_=fn_tt_tt_1,tt2245084
312,Top Gun,1986,http://www.imdb.com/title/tt0092099/?ref_=fn_tt_tt_1,tt0092099
313,Dallas Buyers Club,2013,http://www.imdb.com/title/tt0790636/?ref_=fn_tt_tt_1,tt0790636
314,28 Days Later,2002,http://www.imdb.com/title/tt0289043/?ref_=fn_tt_tt_1,tt0289043
316,Tangled,2010,http://www.imdb.com/title/tt0398286/?ref_=fn_tt_tt_1,tt0398286
317,The Fifth Element,1997,http://www.imdb.com/title/tt0119116/?ref_=fn_tt_tt_1,tt0119116
319,Ready Player One,2018,http://www.imdb.com/title/tt1677720/?ref_=fn_tt_tt_1,tt1677720
321,The Big Short,2015,http://www.imdb.com/title/tt1596363/?ref_=fn_tt_tt_1,tt1596363
322,Sicario,2015,http://www.imdb.com/title/tt3397884/?ref_=fn_tt_tt_1,tt3397884
324,Spotlight,2015,http://www.imdb.com/title/tt1895587/?ref_=fn_tt_tt_1,tt1895587
325,Cars,2006,http://www.imdb.com/title/tt0317219/?ref_=fn_tt_tt_1,tt0317219
326,Bullet Train,2022,http://www.imdb.com/title/tt12593682/?ref_=fn_tt_tt_1,tt12593682
327,The Devil Wears Prada,2006,http://www.imdb.com/title/tt0458352/?ref_=fn_tt_tt_1,tt0458352
328,Lost in Translation,2003,http://www.imdb.com/title/tt0335266/?ref_=fn_tt_tt_1,tt0335266
329,Warrior,2011,http://www.imdb.com/title/tt1291584/?ref_=fn_tt_tt_1,tt1291584
330,The Help,2011,http://www.imdb.com/title/tt1454029/?ref_=fn_tt_tt_1,tt1454029
336,Mystic River,2003,http://www.imdb.com/title/tt0327056/?ref_=fn_tt_tt_1,tt0327056
339,Captain Phillips,2013,http://www.imdb.com/title/tt1535109/?ref_=fn_tt_tt_1,tt1535109
340,American Hustle,2013,http://www.imdb.com/title/tt1800241/?ref_=fn_tt_tt_1,tt1800241
343,Training Day,2001,http://www.imdb.com/title/tt0139654/?ref_=fn_tt_tt_1,tt0139654
345,Howl's Moving Castle,2004,http://www.imdb.com/title/tt0347149/?ref_=fn_tt_tt_1,tt0347149
349,Moneyball,2011,http://www.imdb.com/title/tt1210166/?ref_=fn_tt_tt_1,tt1210166
350,The Theory of Everything,2014,http://www.imdb.com/title/tt2980516/?ref_=fn_tt_tt_1,tt2980516
352,Gangs of New York,2002,http://www.imdb.com/title/tt0217505/?ref_=fn_tt_tt_1,tt0217505
354,The Last Samurai,2003,http://www.imdb.com/title/tt0325710/?ref_=fn_tt_tt_1,tt0325710
357,The Mummy,1999,http://www.imdb.com/title/tt0120616/?ref_=fn_tt_tt_1,tt0120616
359,Predator,1987,http://www.imdb.com/title/tt0093773/?ref_=fn_tt_tt_1,tt0093773
360,Aladdin,1992,http://www.imdb.com/title/tt0103639/?ref_=fn_tt_tt_1,tt0103639
361,The Exorcist,1973,http://www.imdb.com/title/tt0070047/?ref_=fn_tt_tt_1,tt0070047
362,Wreck-It Ralph,2012,http://www.imdb.com/title/tt1772341/?ref_=fn_tt_tt_1,tt1772341
363,The Menu,2022,http://www.imdb.com/title/tt9764362/?ref_=fn_tt_tt_1,tt9764362
364,The Hurt Locker,2008,http://www.imdb.com/title/tt0887912/?ref_=fn_tt_tt_1,tt0887912
365,Scott Pilgrim vs. the World,2010,http://www.imdb.com/title/tt0446029/?ref_=fn_tt_tt_1,tt0446029
367,Passengers,2016,http://www.imdb.com/title/tt1355644/?ref_=fn_tt_tt_1,tt1355644
369,Citizen Kane,1941,http://www.imdb.com/title/tt0033467/?ref_=fn_tt_tt_1,tt0033467
370,In Bruges,2008,http://www.imdb.com/title/tt0780536/?ref_=fn_tt_tt_1,tt0780536
372,Elysium,2013,http://www.imdb.com/title/tt1535108/?ref_=fn_tt_tt_1,tt1535108
374,Tropic Thunder,2008,http://www.imdb.com/title/tt0942385/?ref_=fn_tt_tt_1,tt0942385
376,Free Guy,2021,http://www.imdb.com/title/tt6264654/?ref_=fn_tt_tt_1,tt6264654
377,Jojo Rabbit,2019,http://www.imdb.com/title/tt2584384/?ref_=fn_tt_tt_1,tt2584384
379,Stand by Me,1986,http://www.imdb.com/title/tt0092005/?ref_=fn_tt_tt_1,tt0092005
381,Ghostbusters,1984,http://www.imdb.com/title/tt0087332/?ref_=fn_tt_tt_1,tt0087332
382,The Princess Bride,1987,http://www.imdb.com/title/tt0093779/?ref_=fn_tt_tt_1,tt0093779
384,Mean Girls,2004,http://www.imdb.com/title/tt0377092/?ref_=fn_tt_tt_1,tt0377092
386,In Time,2011,http://www.imdb.com/title/tt1637688/?ref_=fn_tt_tt_1,tt1637688
388,Midsommar,2019,http://www.imdb.com/title/tt8772262/?ref_=fn_tt_tt_1,tt8772262
389,3 Idiots,2009,http://www.imdb.com/title/tt1187043/?ref_=fn_tt_tt_1,tt1187043
390,Room,2015,http://www.imdb.com/title/tt3170832/?ref_=fn_tt_tt_1,tt3170832
392,Madagascar,2005,http://www.imdb.com/title/tt0351283/?ref_=fn_tt_tt_1,tt0351283
